Row,data_pnts,event_cnt,key_events_exist,quality_checks
NDARAA306NT2,86151,4,1,n/a
NDARAA504CRN,102197,5,1,n/a
NDARAB514MAJ,100498,7,1,n/a
NDARAB977GFB,86079,4,1,n/a
NDARAD571FLB,86559,4,1,n/a
NDARAF003VCL,86197,4,1,n/a
NDARAG191AE8,86264,4,1,n/a
NDARAG610XL4,87304,3,1,n/a
NDARAH976BND,86164,4,1,n/a
NDARAJ977PRJ,86186,4,1,n/a
NDARAN524ZK6,86062,4,1,n/a
NDARAN934AZL,86564,5,1,n/a
NDARAP912JK3,86069,4,1,n/a
NDARAR305LXG,91697,4,1,n/a
NDARAT709MMX,86061,4,1,n/a
NDARAV454VF0,86182,4,1,n/a
NDARAY298THW,86189,4,1,n/a
NDARBD370RBY,86055,4,1,n/a
NDARBJ375VP4,86046,4,1,n/a
NDARBL242L4H,86050,4,1,n/a
NDARBT436PMT,86207,4,1,n/a
NDARBV630BK6,86061,4,1,n/a
NDARCA050RZL,86195,4,1,n/a
NDARCB627KDN,86049,4,1,n/a
NDARCC059WTH,86067,4,1,n/a
NDARCC101PA9,NaN,NaN,0,n/a
NDARCC824FCL,86078,4,1,n/a
NDARCJ330NBP,86059,4,1,n/a
NDARCM050BN2,104211,7,1,n/a
NDARCM953HKD,86201,4,1,n/a
NDARCN681CXW,86081,4,1,n/a
NDARCR715LEY,86234,4,1,n/a
NDARCT889DMB,86059,4,1,n/a
NDARCV440TRV,86064,4,1,n/a
NDARCV628NRY,86066,4,1,n/a
NDARCX505WVX,86217,4,1,n/a
NDARDE502TEU,NaN,NaN,0,n/a
NDARDF560NND,86227,4,1,n/a
NDARDJ204EPU,86214,4,1,n/a
NDARDJ544BU5,86192,4,1,n/a
NDARDP292DVC,86066,4,1,n/a
NDARDP725ZVY,102990,5,1,n/a
NDARDV648WB5,86205,4,1,n/a
NDARDW178AC6,86187,4,1,n/a
NDAREB303XDC,86576,4,1,n/a
NDARED010UML,NaN,NaN,0,n/a
NDAREF074ZAQ,86208,4,1,n/a
NDAREG013BLG,86061,4,1,n/a
NDARET558NB3,156326,20,1,n/a
NDARET888KD2,86191,4,1,n/a
NDAREV372WDG,86055,4,1,n/a
NDARFD069AW7,86056,4,1,n/a
NDARFJ988HKR,86182,4,1,n/a
NDARFK819TD5,86065,4,1,n/a
NDARFP243NWY,NaN,NaN,0,n/a
NDARFP503KJF,86088,4,1,n/a
NDARFP813TL5,86164,4,1,n/a
NDARFV725LGA,86052,4,1,n/a
NDARFW100ZXX,86188,4,1,n/a
