Row,data_pnts,event_cnt,key_events_exist,quality_checks
NDARAA306NT2,NaN,NaN,0,n/a
NDARAA504CRN,NaN,NaN,0,n/a
NDARAB514MAJ,NaN,NaN,0,n/a
NDARAB977GFB,NaN,NaN,0,n/a
NDARAD571FLB,NaN,NaN,0,n/a
NDARAF003VCL,120570,109,1,n/a
NDARAG191AE8,149739,109,1,n/a
NDARAG610XL4,NaN,NaN,0,n/a
NDARAH976BND,150767,109,1,n/a
NDARAJ977PRJ,NaN,NaN,0,n/a
NDARAN524ZK6,NaN,NaN,0,n/a
NDARAN934AZL,NaN,NaN,0,n/a
NDARAP912JK3,NaN,NaN,0,n/a
NDARAR305LXG,NaN,NaN,0,n/a
NDARAT709MMX,137615,109,1,n/a
NDARAV454VF0,NaN,NaN,0,n/a
NDARAY298THW,155516,109,1,n/a
NDARBD370RBY,NaN,NaN,0,n/a
NDARBJ375VP4,153488,109,1,n/a
NDARBL242L4H,179234,109,1,n/a
NDARBT436PMT,261133,109,1,n/a
NDARBV630BK6,140888,109,1,n/a
NDARCA050RZL,NaN,NaN,0,n/a
NDARCB627KDN,149211,109,1,n/a
NDARCC059WTH,167760,109,1,n/a
NDARCC101PA9,NaN,NaN,0,n/a
NDARCC824FCL,NaN,NaN,0,n/a
NDARCJ330NBP,NaN,NaN,0,n/a
NDARCM050BN2,NaN,NaN,0,n/a
NDARCM953HKD,131741,109,1,n/a
NDARCN681CXW,163387,109,1,n/a
NDARCR715LEY,NaN,NaN,0,n/a
NDARCT889DMB,155163,109,1,n/a
NDARCV440TRV,NaN,NaN,0,n/a
NDARCV628NRY,NaN,NaN,0,n/a
NDARCX505WVX,153564,109,1,n/a
NDARDE502TEU,185434,109,1,n/a
NDARDF560NND,NaN,NaN,0,n/a
NDARDJ204EPU,157689,109,1,n/a
NDARDJ544BU5,NaN,NaN,0,n/a
NDARDP292DVC,127366,109,1,n/a
NDARDP725ZVY,NaN,NaN,0,n/a
NDARDV648WB5,283508,109,1,n/a
NDARDW178AC6,126317,109,1,n/a
NDAREB303XDC,161537,109,1,n/a
NDARED010UML,NaN,NaN,0,n/a
NDAREF074ZAQ,146464,109,1,n/a
NDAREG013BLG,135039,109,1,n/a
NDARET558NB3,NaN,NaN,0,n/a
NDARET888KD2,NaN,NaN,0,n/a
NDAREV372WDG,NaN,NaN,0,n/a
NDARFD069AW7,171658,109,1,n/a
NDARFJ988HKR,NaN,NaN,0,n/a
NDARFK819TD5,187684,109,1,n/a
NDARFP243NWY,NaN,NaN,0,n/a
NDARFP503KJF,164934,109,1,n/a
NDARFP813TL5,NaN,NaN,0,n/a
NDARFV725LGA,NaN,NaN,0,n/a
NDARFW100ZXX,NaN,NaN,0,n/a
NDARFW506ZZ0,178913,109,1,n/a
NDARFW669WJ9,NaN,NaN,0,n/a
NDARGB060TAM,121267,109,1,n/a
NDARGC255BUN,137789,109,1,n/a
NDARGM258RZU,155941,109,1,n/a
NDARGM421YWQ,162767,109,1,n/a
NDARGN210CK7,141241,109,1,n/a
NDARGU829GZ4,NaN,NaN,0,n/a
NDARGV263ZRY,133190,109,1,n/a
NDARGZ116HTR,NaN,NaN,0,n/a
NDARHD276TYX,159215,109,1,n/a
NDARHN911CNJ,NaN,NaN,0,n/a
NDARHU529JHV,186063,109,1,n/a
NDARHX252NVH,182061,109,1,n/a
NDARJA315FUQ,NaN,NaN,0,n/a
NDARJC463HCM,NaN,NaN,0,n/a
NDARJD142DHR,NaN,NaN,0,n/a
NDARJH910CGX,192234,109,1,n/a
NDARJJ216EGT,147389,109,1,n/a
NDARJK147LNJ,NaN,NaN,0,n/a
NDARJK154PF5,236510,109,1,n/a
NDARJL656RDA,NaN,NaN,0,n/a
NDARJR280FEJ,NaN,NaN,0,n/a
NDARJV547LA3,NaN,NaN,0,n/a
NDARJW072UJ3,NaN,NaN,0,n/a
NDARJW503GA0,NaN,NaN,0,n/a
NDARJX121GKP,156213,109,1,n/a
NDARJY577WNJ,143038,109,1,n/a
NDARKD590VF4,127098,109,1,n/a
NDARKH944KVE,NaN,NaN,0,n/a
NDARKL223LLF,139562,109,1,n/a
NDARKM718VKX,NaN,NaN,0,n/a
NDARKN742LEV,125566,109,1,n/a
NDARKT540ZW0,NaN,NaN,0,n/a
NDARKU726AB4,NaN,NaN,0,n/a
NDARKZ949UAL,NaN,NaN,0,n/a
NDARLA226ADX,NaN,NaN,0,n/a
NDARLA457ELH,124738,109,1,n/a
NDARLE335PRN,135068,109,1,n/a
NDARLE412VD5,193732,109,1,n/a
NDARLE849LCR,NaN,NaN,0,n/a
NDARLH043YDK,153787,109,1,n/a
NDARLH423CR7,132815,109,1,n/a
NDARLP417RC6,NaN,NaN,0,n/a
NDARLR924YAV,168594,109,1,n/a
NDARMB290GPL,NaN,NaN,0,n/a
NDARMC694YF3,170290,109,1,n/a
NDARMF560MUH,NaN,NaN,0,n/a
NDARMF846EVR,NaN,NaN,0,n/a
NDARMG263JRX,NaN,NaN,0,n/a
NDARMJ333WJM,119142,109,1,n/a
NDARMJ845MJA,NaN,NaN,0,n/a
NDARML626PGU,NaN,NaN,0,n/a
NDARMR134HUY,NaN,NaN,0,n/a
NDARMZ119VPH,NaN,NaN,0,n/a
NDARNA421FL7,135040,109,1,n/a
NDARNB390JL3,NaN,NaN,0,n/a
NDARNC130ZLK,NaN,NaN,0,n/a
NDARNC489BX5,134314,109,1,n/a
NDARND604TNB,127040,109,1,n/a
NDARND805ZTP,NaN,NaN,0,n/a
NDARNT205ZKP,NaN,NaN,0,n/a
NDARNT898ZPF,NaN,NaN,0,n/a
NDARNU411FDE,NaN,NaN,0,n/a
NDARNV983DET,NaN,NaN,0,n/a
NDARNW099DC7,138742,109,1,n/a
NDARNX050XBN,135440,109,1,n/a
NDARNZ084JVC,107617,109,1,n/a
NDARPC301UWR,NaN,NaN,0,n/a
NDARPC745LTD,160592,109,1,n/a
NDARPE830YU0,152038,109,1,n/a
NDARPJ001BVE,NaN,NaN,0,n/a
NDARPJ691NEU,181411,109,1,n/a
NDARPK597XH0,NaN,NaN,0,n/a
NDARPL406KX4,154163,109,1,n/a
NDARRE063LG2,204206,109,1,n/a
NDARRH199NCH,190408,109,1,n/a
NDARRL030XD8,144817,109,1,n/a
NDARRR595LRJ,146488,109,1,n/a
NDARRU820CXW,NaN,NaN,0,n/a
NDARRV002MA8,NaN,NaN,0,n/a
NDARRX084UML,NaN,NaN,0,n/a
NDARRX552PP2,NaN,NaN,0,n/a
NDARRY885YL9,174688,109,1,n/a
NDARRZ940HX6,183507,109,1,n/a
NDARRZ993EL4,139392,109,1,n/a
NDARTF150VPJ,173358,109,1,n/a
NDARTH529YKZ,NaN,NaN,0,n/a
NDARTJ862ENU,121267,109,1,n/a
NDARTN760YH8,109413,109,1,n/a
NDARTP022VL6,NaN,NaN,0,n/a
NDARTV119WJK,133516,109,1,n/a
NDARTV296UNC,NaN,NaN,0,n/a
NDARTZ018PD5,NaN,NaN,0,n/a
NDARUA745NA8,NaN,NaN,0,n/a
NDARUC715YN4,172237,109,1,n/a
NDARUC980NZ5,126590,109,1,n/a
NDARUD394JAW,NaN,NaN,0,n/a
NDARUK054GTN,NaN,NaN,0,n/a
NDARUK588UY6,NaN,NaN,0,n/a
NDARUK719URM,NaN,NaN,0,n/a
NDARUP441BKK,NaN,NaN,0,n/a
NDARUT142RT3,NaN,NaN,0,n/a
NDARUW206XUG,121489,109,1,n/a
NDARUZ200NRJ,162763,109,1,n/a
NDARVC318GTX,146339,109,1,n/a
NDARVJ687ENB,NaN,NaN,0,n/a
NDARVK407TGE,NaN,NaN,0,n/a
NDARVM287DJK,NaN,NaN,0,n/a
NDARVP894EX0,NaN,NaN,0,n/a
NDARVR601FUT,164287,109,1,n/a
NDARVV704MND,NaN,NaN,0,n/a
NDARVY860TY0,NaN,NaN,0,n/a
NDARWE130JMG,NaN,NaN,0,n/a
NDARWP675DHU,NaN,NaN,0,n/a
NDARWX376FTQ,176512,109,1,n/a
NDARXB023AMW,125841,109,1,n/a
NDARXD907ZJL,117740,109,1,n/a
NDARXE912NZP,NaN,NaN,0,n/a
NDARXF294ME0,NaN,NaN,0,n/a
NDARXF711LJ9,156741,109,1,n/a
NDARXJ973GFA,127616,109,1,n/a
NDARXL534AZA,NaN,NaN,0,n/a
NDARXX939FFN,NaN,NaN,0,n/a
NDARXZ710ZJ8,NaN,NaN,0,n/a
NDARYA877HN5,NaN,NaN,0,n/a
NDARYB414NGM,129940,109,1,n/a
NDARYG172DBJ,NaN,NaN,0,n/a
NDARYJ334EHH,209434,109,1,n/a
NDARYJ694EU0,193584,109,1,n/a
NDARYL268BVG,NaN,NaN,0,n/a
NDARYW789GNP,132640,109,1,n/a
NDARYY793DXM,200481,109,1,n/a
NDARZE389XF0,147186,109,1,n/a
NDARZF625MH8,NaN,NaN,0,n/a
NDARZH699ZET,NaN,NaN,0,n/a
NDARZP065VGY,158739,109,1,n/a
NDARZR529EJ1,NaN,NaN,0,n/a
NDARZV132DRG,143912,109,1,n/a
NDARAM197GFY,NaN,NaN,0,n/a
NDARCU919KUL,NaN,NaN,0,n/a
NDARFB371EMF,NaN,NaN,0,n/a
NDARFD628UVZ,NaN,NaN,0,n/a
NDARFR873KZX,259560,110,1,n/a
