onset	duration	sample	value	event_code	feedback
0	n/a	0	break cnt	break cnt	n/a
57.052	n/a	28526	contrastChangeB1_start	94	n/a
64.008	n/a	32004	contrastTrial_start	5	n/a
66.814	n/a	33407	right_target	9	n/a
68.192	n/a	34096	right_buttonPress	13	smiley_face
68.732	n/a	34366	right_buttonPress	13	non_target
69.214	n/a	34607	contrastTrial_start	5	n/a
72.012	n/a	36006	right_target	9	n/a
74.032	n/a	37016	right_buttonPress	13	smiley_face
74.412	n/a	37206	contrastTrial_start	5	n/a
78.812	n/a	39406	right_target	9	n/a
80.532	n/a	40266	right_buttonPress	13	smiley_face
81.212	n/a	40606	contrastTrial_start	5	n/a
87.212	n/a	43606	right_target	9	n/a
89.032	n/a	44516	right_buttonPress	13	smiley_face
89.612	n/a	44806	contrastTrial_start	5	n/a
92.412	n/a	46206	left_target	8	n/a
94.112	n/a	47056	left_buttonPress	12	smiley_face
94.762	n/a	47381	left_buttonPress	12	non_target
94.812	n/a	47406	contrastTrial_start	5	n/a
97.612	n/a	48806	right_target	9	n/a
99.432	n/a	49716	right_buttonPress	13	smiley_face
100.012	n/a	50006	contrastTrial_start	5	n/a
104.412	n/a	52206	right_target	9	n/a
106.162	n/a	53081	right_buttonPress	13	smiley_face
106.812	n/a	53406	contrastTrial_start	5	n/a
111.212	n/a	55606	left_target	8	n/a
112.802	n/a	56401	left_buttonPress	12	smiley_face
113.612	n/a	56806	contrastTrial_start	5	n/a
118.012	n/a	59006	left_target	8	n/a
119.982	n/a	59991	left_buttonPress	12	smiley_face
120.412	n/a	60206	contrastTrial_start	5	n/a
124.812	n/a	62406	right_target	9	n/a
126.522	n/a	63261	right_buttonPress	13	smiley_face
127.212	n/a	63606	contrastTrial_start	5	n/a
133.212	n/a	66606	left_target	8	n/a
134.632	n/a	67316	right_buttonPress	13	sad_face
135.482	n/a	67741	left_buttonPress	12	non_target
135.612	n/a	67806	contrastTrial_start	5	n/a
136.102	n/a	68051	left_buttonPress	12	non_target
138.412	n/a	69206	left_target	8	n/a
139.692	n/a	69846	right_buttonPress	13	sad_face
140.292	n/a	70146	left_buttonPress	12	non_target
140.812	n/a	70406	contrastTrial_start	5	n/a
141.002	n/a	70501	left_buttonPress	12	non_target
146.812	n/a	73406	left_target	8	n/a
148.692	n/a	74346	left_buttonPress	12	smiley_face
149.212	n/a	74606	contrastTrial_start	5	n/a
153.612	n/a	76806	left_target	8	n/a
155.782	n/a	77891	left_buttonPress	12	smiley_face
156.012	n/a	78006	contrastTrial_start	5	n/a
158.812	n/a	79406	left_target	8	n/a
160.502	n/a	80251	left_buttonPress	12	smiley_face
161.212	n/a	80606	contrastTrial_start	5	n/a
161.412	n/a	80706	left_buttonPress	12	non_target
167.212	n/a	83606	left_target	8	n/a
168.822	n/a	84411	right_buttonPress	13	sad_face
169.612	n/a	84806	contrastTrial_start	5	n/a
169.782	n/a	84891	left_buttonPress	12	non_target
174.012	n/a	87006	right_target	9	n/a
176.112	n/a	88056	right_buttonPress	13	smiley_face
176.412	n/a	88206	contrastTrial_start	5	n/a
182.41	n/a	91205	right_target	9	n/a
184.26	n/a	92130	right_buttonPress	13	smiley_face
184.812	n/a	92406	contrastTrial_start	5	n/a
190.81	n/a	95405	right_target	9	n/a
192.52	n/a	96260	right_buttonPress	13	smiley_face
193.21	n/a	96605	contrastTrial_start	5	n/a
196.01	n/a	98005	left_target	8	n/a
197.92	n/a	98960	left_buttonPress	12	smiley_face
198.41	n/a	99205	contrastTrial_start	5	n/a
204.41	n/a	102205	left_target	8	n/a
206.28	n/a	103140	left_buttonPress	12	smiley_face
206.81	n/a	103405	contrastTrial_start	5	n/a
211.21	n/a	105605	left_target	8	n/a
212.8	n/a	106400	left_buttonPress	12	smiley_face
213.61	n/a	106805	contrastTrial_start	5	n/a
216.41	n/a	108205	right_target	9	n/a
218.7	n/a	109350	right_buttonPress	13	smiley_face
218.81	n/a	109405	contrastTrial_start	5	n/a
224.81	n/a	112405	right_target	9	n/a
226.83	n/a	113415	right_buttonPress	13	smiley_face
227.21	n/a	113605	contrastTrial_start	5	n/a
233.582	n/a	116791	break cnt	break cnt	n/a
270.036	n/a	135018	9999	9999	n/a
