onset	duration	sample	value	event_code	feedback
0	n/a	0	break cnt	break cnt	n/a
36.592	n/a	18296	contrastChangeB2_start	95	n/a
42.402	n/a	21201	contrastTrial_start	5	n/a
45.218	n/a	22609	right_target	9	n/a
47.468	n/a	23734	right_buttonPress	13	smiley_face
47.62	n/a	23810	contrastTrial_start	5	n/a
50.418	n/a	25209	left_target	8	n/a
52.278	n/a	26139	left_buttonPress	12	smiley_face
52.818	n/a	26409	contrastTrial_start	5	n/a
52.948	n/a	26474	left_buttonPress	12	non_target
58.818	n/a	29409	right_target	9	n/a
60.788	n/a	30394	right_buttonPress	13	smiley_face
61.218	n/a	30609	contrastTrial_start	5	n/a
66.9	n/a	33450	left_buttonPress	12	non_target
67.22	n/a	33610	left_target	8	n/a
68.588	n/a	34294	left_buttonPress	12	smiley_face
69.188	n/a	34594	left_buttonPress	12	non_target
69.62	n/a	34810	contrastTrial_start	5	n/a
75.62	n/a	37810	right_target	9	n/a
77.01	n/a	38505	right_buttonPress	13	smiley_face
77.3	n/a	38650	right_buttonPress	13	non_target
77.8	n/a	38900	right_buttonPress	13	non_target
78.02	n/a	39010	contrastTrial_start	5	n/a
83.99	n/a	41995	left_buttonPress	12	non_target
84.02	n/a	42010	left_target	8	n/a
85.29	n/a	42645	left_buttonPress	12	smiley_face
85.54	n/a	42770	left_buttonPress	12	non_target
85.82	n/a	42910	left_buttonPress	12	non_target
86.13	n/a	43065	left_buttonPress	12	non_target
86.42	n/a	43210	contrastTrial_start	5	n/a
86.59	n/a	43295	left_buttonPress	12	non_target
89.61	n/a	44805	left_buttonPress	12	non_target
90.83	n/a	45415	left_target	8	n/a
93.07	n/a	46535	left_buttonPress	12	smiley_face
93.23	n/a	46615	contrastTrial_start	5	n/a
93.43	n/a	46715	left_buttonPress	12	non_target
96.03	n/a	48015	right_target	9	n/a
98.43	n/a	49215	contrastTrial_start	5	n/a
104.43	n/a	52215	right_target	9	n/a
106.11	n/a	53055	left_buttonPress	12	sad_face
106.83	n/a	53415	contrastTrial_start	5	n/a
107.07	n/a	53535	right_buttonPress	13	non_target
111.23	n/a	55615	right_target	9	n/a
113.62	n/a	56810	right_buttonPress	13	smiley_face
113.63	n/a	56815	contrastTrial_start	5	n/a
118.03	n/a	59015	right_target	9	n/a
119.97	n/a	59985	right_buttonPress	13	smiley_face
120.43	n/a	60215	contrastTrial_start	5	n/a
120.54	n/a	60270	right_buttonPress	13	non_target
123.23	n/a	61615	right_target	9	n/a
125.63	n/a	62815	contrastTrial_start	5	n/a
130.032	n/a	65016	left_target	8	n/a
131.382	n/a	65691	left_buttonPress	12	smiley_face
131.702	n/a	65851	left_buttonPress	12	non_target
132.022	n/a	66011	left_buttonPress	12	non_target
132.392	n/a	66196	left_buttonPress	12	non_target
132.432	n/a	66216	contrastTrial_start	5	n/a
136.832	n/a	68416	right_target	9	n/a
139.232	n/a	69616	contrastTrial_start	5	n/a
145.232	n/a	72616	right_target	9	n/a
147.262	n/a	73631	right_buttonPress	13	smiley_face
147.632	n/a	73816	contrastTrial_start	5	n/a
152.032	n/a	76016	right_target	9	n/a
153.812	n/a	76906	right_buttonPress	13	smiley_face
154.172	n/a	77086	right_buttonPress	13	non_target
154.432	n/a	77216	contrastTrial_start	5	n/a
154.472	n/a	77236	right_buttonPress	13	non_target
157.232	n/a	78616	right_target	9	n/a
159.612	n/a	79806	right_buttonPress	13	smiley_face
159.632	n/a	79816	contrastTrial_start	5	n/a
162.432	n/a	81216	left_target	8	n/a
164.832	n/a	82416	contrastTrial_start	5	n/a
167.632	n/a	83816	left_target	8	n/a
170.032	n/a	85016	contrastTrial_start	5	n/a
174.432	n/a	87216	left_target	8	n/a
175.942	n/a	87971	left_buttonPress	12	smiley_face
176.312	n/a	88156	left_buttonPress	12	non_target
176.572	n/a	88286	left_buttonPress	12	non_target
176.832	n/a	88416	contrastTrial_start	5	n/a
176.852	n/a	88426	left_buttonPress	12	non_target
179.632	n/a	89816	left_target	8	n/a
182.032	n/a	91016	contrastTrial_start	5	n/a
186.432	n/a	93216	left_target	8	n/a
188.482	n/a	94241	left_buttonPress	12	smiley_face
188.834	n/a	94417	contrastTrial_start	5	n/a
194.834	n/a	97417	left_target	8	n/a
196.234	n/a	98117	left_buttonPress	12	smiley_face
196.864	n/a	98432	left_buttonPress	12	non_target
197.234	n/a	98617	contrastTrial_start	5	n/a
197.454	n/a	98727	left_buttonPress	12	non_target
203.234	n/a	101617	left_target	8	n/a
204.554	n/a	102277	left_buttonPress	12	smiley_face
204.884	n/a	102442	left_buttonPress	12	non_target
205.244	n/a	102622	left_buttonPress	12	non_target
205.564	n/a	102782	left_buttonPress	12	non_target
205.644	n/a	102822	contrastTrial_start	5	n/a
205.954	n/a	102977	left_buttonPress	12	non_target
212.038	n/a	106019	break cnt	break cnt	n/a
240.126	n/a	120063	9999	9999	n/a
