onset	duration	sample	value	event_code
0	n/a	0	break cnt	break cnt
1.896	n/a	948	resting_start	90
64.214	n/a	32107	instructed_toOpenEyes	20
84.214	n/a	42107	instructed_toCloseEyes	30
124.204	n/a	62102	instructed_toOpenEyes	20
144.206	n/a	72103	instructed_toCloseEyes	30
184.206	n/a	92103	instructed_toOpenEyes	20
204.208	n/a	102104	instructed_toCloseEyes	30
244.208	n/a	122104	instructed_toOpenEyes	20
264.21	n/a	132105	instructed_toCloseEyes	30
304.212	n/a	152106	instructed_toOpenEyes	20
324.212	n/a	162106	instructed_toCloseEyes	30
364.214	n/a	182107	instructed_toOpenEyes	20
368.719	n/a	184359.5	boundary	boundary
