onset	duration	sample	value	event_code	background	foreground_contrast	stimulus_cond
0	n/a	0	break cnt	break cnt	n/a	n/a	n/a
102.992	n/a	51496	surroundSuppB1_start	93	n/a	n/a	n/a
104.558	n/a	52279	fixpoint_ON	4	n/a	n/a	n/a
105.076	2.4	52538	stim_ON	8	1	0	2
107.984	n/a	53992	fixpoint_ON	4	n/a	n/a	n/a
108.494	2.4	54247	stim_ON	8	1	0.3	3
111.404	n/a	55702	fixpoint_ON	4	n/a	n/a	n/a
111.914	2.4	55957	stim_ON	8	1	0.6	1
114.824	n/a	57412	fixpoint_ON	4	n/a	n/a	n/a
115.334	2.4	57667	stim_ON	8	1	1	2
118.244	n/a	59122	fixpoint_ON	4	n/a	n/a	n/a
118.754	2.4	59377	stim_ON	8	1	0	3
121.666	n/a	60833	fixpoint_ON	4	n/a	n/a	n/a
122.174	2.4	61087	stim_ON	8	1	0.3	2
125.084	n/a	62542	fixpoint_ON	4	n/a	n/a	n/a
125.594	2.4	62797	stim_ON	8	1	0.6	1
128.504	n/a	64252	fixpoint_ON	4	n/a	n/a	n/a
129.016	2.4	64508	stim_ON	8	1	1	3
131.926	n/a	65963	fixpoint_ON	4	n/a	n/a	n/a
132.434	2.4	66217	stim_ON	8	1	0	2
135.346	n/a	67673	fixpoint_ON	4	n/a	n/a	n/a
135.856	2.4	67928	stim_ON	8	1	0.3	3
138.766	n/a	69383	fixpoint_ON	4	n/a	n/a	n/a
139.276	2.4	69638	stim_ON	8	1	0.6	1
142.186	n/a	71093	fixpoint_ON	4	n/a	n/a	n/a
142.706	2.4	71353	stim_ON	8	1	1	2
145.616	n/a	72808	fixpoint_ON	4	n/a	n/a	n/a
146.126	2.4	73063	stim_ON	8	0	0	3
149.036	n/a	74518	fixpoint_ON	4	n/a	n/a	n/a
149.546	2.4	74773	stim_ON	8	0	0.3	1
152.456	n/a	76228	fixpoint_ON	4	n/a	n/a	n/a
152.966	2.4	76483	stim_ON	8	0	0.6	2
155.876	n/a	77938	fixpoint_ON	4	n/a	n/a	n/a
156.386	2.4	78193	stim_ON	8	0	1	3
159.296	n/a	79648	fixpoint_ON	4	n/a	n/a	n/a
159.806	2.4	79903	stim_ON	8	1	1	1
162.716	n/a	81358	fixpoint_ON	4	n/a	n/a	n/a
163.226	2.4	81613	stim_ON	8	1	0.6	3
166.136	n/a	83068	fixpoint_ON	4	n/a	n/a	n/a
166.646	2.4	83323	stim_ON	8	1	0.3	2
169.556	n/a	84778	fixpoint_ON	4	n/a	n/a	n/a
170.066	2.4	85033	stim_ON	8	1	0	1
172.976	n/a	86488	fixpoint_ON	4	n/a	n/a	n/a
173.486	2.4	86743	stim_ON	8	1	1	1
176.396	n/a	88198	fixpoint_ON	4	n/a	n/a	n/a
176.906	2.4	88453	stim_ON	8	1	0.6	2
179.816	n/a	89908	fixpoint_ON	4	n/a	n/a	n/a
180.326	2.4	90163	stim_ON	8	1	0.3	3
183.236	n/a	91618	fixpoint_ON	4	n/a	n/a	n/a
183.746	2.4	91873	stim_ON	8	1	0	1
186.656	n/a	93328	fixpoint_ON	4	n/a	n/a	n/a
187.168	2.4	93584	stim_ON	8	0	0	2
190.076	n/a	95038	fixpoint_ON	4	n/a	n/a	n/a
190.586	2.4	95293	stim_ON	8	1	0	3
193.498	n/a	96749	fixpoint_ON	4	n/a	n/a	n/a
194.006	2.4	97003	stim_ON	8	0	0.3	1
196.918	n/a	98459	fixpoint_ON	4	n/a	n/a	n/a
197.428	2.4	98714	stim_ON	8	1	0.3	2
200.338	n/a	100169	fixpoint_ON	4	n/a	n/a	n/a
200.848	2.4	100424	stim_ON	8	0	0.6	3
203.758	n/a	101879	fixpoint_ON	4	n/a	n/a	n/a
204.268	2.4	102134	stim_ON	8	1	0.6	1
207.178	n/a	103589	fixpoint_ON	4	n/a	n/a	n/a
207.688	2.4	103844	stim_ON	8	0	1	2
210.598	n/a	105299	fixpoint_ON	4	n/a	n/a	n/a
211.108	2.4	105554	stim_ON	8	1	1	3
214.018	n/a	107009	fixpoint_ON	4	n/a	n/a	n/a
214.528	2.4	107264	stim_ON	8	1	1	1
217.438	n/a	108719	fixpoint_ON	4	n/a	n/a	n/a
217.948	2.4	108974	stim_ON	8	1	0.6	2
220.858	n/a	110429	fixpoint_ON	4	n/a	n/a	n/a
221.368	2.4	110684	stim_ON	8	1	0.3	3
224.278	n/a	112139	fixpoint_ON	4	n/a	n/a	n/a
224.788	2.4	112394	stim_ON	8	1	0	1
227.698	n/a	113849	fixpoint_ON	4	n/a	n/a	n/a
228.208	2.4	114104	stim_ON	8	1	1	1
231.118	n/a	115559	fixpoint_ON	4	n/a	n/a	n/a
231.628	2.4	115814	stim_ON	8	1	0.6	3
234.538	n/a	117269	fixpoint_ON	4	n/a	n/a	n/a
235.048	2.4	117524	stim_ON	8	1	0.3	2
237.958	n/a	118979	fixpoint_ON	4	n/a	n/a	n/a
238.468	2.4	119234	stim_ON	8	1	0	1
241.378	n/a	120689	fixpoint_ON	4	n/a	n/a	n/a
241.888	2.4	120944	stim_ON	8	0	0	3
244.798	n/a	122399	fixpoint_ON	4	n/a	n/a	n/a
245.308	2.4	122654	stim_ON	8	0	0.3	1
248.218	n/a	124109	fixpoint_ON	4	n/a	n/a	n/a
248.728	2.4	124364	stim_ON	8	0	0.6	2
251.638	n/a	125819	fixpoint_ON	4	n/a	n/a	n/a
252.148	2.4	126074	stim_ON	8	0	1	3
255.06	n/a	127530	fixpoint_ON	4	n/a	n/a	n/a
255.568	2.4	127784	stim_ON	8	1	0	1
258.48	n/a	129240	fixpoint_ON	4	n/a	n/a	n/a
258.99	2.4	129495	stim_ON	8	1	0.3	2
261.9	n/a	130950	fixpoint_ON	4	n/a	n/a	n/a
262.41	2.4	131205	stim_ON	8	1	0.6	3
265.32	n/a	132660	fixpoint_ON	4	n/a	n/a	n/a
265.83	2.4	132915	stim_ON	8	1	1	1
268.74	n/a	134370	fixpoint_ON	4	n/a	n/a	n/a
269.25	2.4	134625	stim_ON	8	1	0	2
272.16	n/a	136080	fixpoint_ON	4	n/a	n/a	n/a
272.67	2.4	136335	stim_ON	8	1	0.3	1
275.58	n/a	137790	fixpoint_ON	4	n/a	n/a	n/a
276.09	2.4	138045	stim_ON	8	1	0.6	3
279	n/a	139500	fixpoint_ON	4	n/a	n/a	n/a
279.51	2.4	139755	stim_ON	8	1	1	2
282.42	n/a	141210	fixpoint_ON	4	n/a	n/a	n/a
282.93	2.4	141465	stim_ON	8	1	0	1
285.84	n/a	142920	fixpoint_ON	4	n/a	n/a	n/a
286.35	2.4	143175	stim_ON	8	1	0.3	2
289.26	n/a	144630	fixpoint_ON	4	n/a	n/a	n/a
289.77	2.4	144885	stim_ON	8	1	0.6	3
292.68	n/a	146340	fixpoint_ON	4	n/a	n/a	n/a
293.19	2.4	146595	stim_ON	8	1	1	1
296.1	n/a	148050	fixpoint_ON	4	n/a	n/a	n/a
296.61	2.4	148305	stim_ON	8	1	1	3
299.52	n/a	149760	fixpoint_ON	4	n/a	n/a	n/a
300.03	2.4	150015	stim_ON	8	0	1	1
302.94	n/a	151470	fixpoint_ON	4	n/a	n/a	n/a
303.45	2.4	151725	stim_ON	8	1	0.6	2
306.36	n/a	153180	fixpoint_ON	4	n/a	n/a	n/a
306.87	2.4	153435	stim_ON	8	0	0.6	3
309.78	n/a	154890	fixpoint_ON	4	n/a	n/a	n/a
310.29	2.4	155145	stim_ON	8	1	0.3	1
313.202	n/a	156601	fixpoint_ON	4	n/a	n/a	n/a
313.71	2.4	156855	stim_ON	8	0	0.3	2
316.622	n/a	158311	fixpoint_ON	4	n/a	n/a	n/a
317.132	2.4	158566	stim_ON	8	1	0	3
320.042	n/a	160021	fixpoint_ON	4	n/a	n/a	n/a
320.552	2.4	160276	stim_ON	8	0	0	1
326.627	n/a	163313.5	boundary	boundary	n/a	n/a	n/a
