onset	duration	sample	value	event_code	feedback
0	n/a	0	break cnt	break cnt	n/a
44.178	n/a	22089	contrastChangeB2_start	95	n/a
50.048	n/a	25024	contrastTrial_start	5	n/a
52.85	n/a	26425	right_target	9	n/a
54.91	n/a	27455	right_buttonPress	13	smiley_face
55.252	n/a	27626	contrastTrial_start	5	n/a
58.05	n/a	29025	left_target	8	n/a
60.452	n/a	30226	contrastTrial_start	5	n/a
66.45	n/a	33225	right_target	9	n/a
68.852	n/a	34426	contrastTrial_start	5	n/a
69.012	n/a	34506	right_buttonPress	13	non_target
74.852	n/a	37426	left_target	8	n/a
75.922	n/a	37961	left_buttonPress	12	smiley_face
77.252	n/a	38626	contrastTrial_start	5	n/a
83.252	n/a	41626	right_target	9	n/a
84.742	n/a	42371	right_buttonPress	13	smiley_face
85.652	n/a	42826	contrastTrial_start	5	n/a
91.652	n/a	45826	left_target	8	n/a
93.012	n/a	46506	right_buttonPress	13	sad_face
94.052	n/a	47026	contrastTrial_start	5	n/a
98.452	n/a	49226	left_target	8	n/a
99.582	n/a	49791	left_buttonPress	12	smiley_face
100.852	n/a	50426	contrastTrial_start	5	n/a
103.652	n/a	51826	right_target	9	n/a
104.952	n/a	52476	right_buttonPress	13	smiley_face
106.052	n/a	53026	contrastTrial_start	5	n/a
112.052	n/a	56026	right_target	9	n/a
113.182	n/a	56591	right_buttonPress	13	smiley_face
114.452	n/a	57226	contrastTrial_start	5	n/a
118.852	n/a	59426	right_target	9	n/a
120.282	n/a	60141	left_buttonPress	12	sad_face
121.252	n/a	60626	contrastTrial_start	5	n/a
121.672	n/a	60836	right_buttonPress	13	non_target
122.802	n/a	61401	right_buttonPress	13	non_target
122.932	n/a	61466	left_buttonPress	12	non_target
123.442	n/a	61721	right_buttonPress	13	non_target
125.652	n/a	62826	right_target	9	n/a
127.024	n/a	63512	right_buttonPress	13	smiley_face
128.054	n/a	64027	contrastTrial_start	5	n/a
130.854	n/a	65427	right_target	9	n/a
132.392	n/a	66196	right_buttonPress	13	smiley_face
133.254	n/a	66627	contrastTrial_start	5	n/a
137.654	n/a	68827	left_target	8	n/a
138.554	n/a	69277	left_buttonPress	12	smiley_face
140.054	n/a	70027	contrastTrial_start	5	n/a
144.454	n/a	72227	right_target	9	n/a
146.024	n/a	73012	left_buttonPress	12	sad_face
146.434	n/a	73217	right_buttonPress	13	non_target
146.854	n/a	73427	contrastTrial_start	5	n/a
147.884	n/a	73942	left_buttonPress	12	non_target
152.854	n/a	76427	right_target	9	n/a
154.274	n/a	77137	right_buttonPress	13	smiley_face
155.254	n/a	77627	contrastTrial_start	5	n/a
159.654	n/a	79827	right_target	9	n/a
161.144	n/a	80572	right_buttonPress	13	smiley_face
162.054	n/a	81027	contrastTrial_start	5	n/a
164.854	n/a	82427	right_target	9	n/a
166.504	n/a	83252	right_buttonPress	13	smiley_face
167.254	n/a	83627	contrastTrial_start	5	n/a
170.054	n/a	85027	left_target	8	n/a
171.644	n/a	85822	left_buttonPress	12	smiley_face
172.454	n/a	86227	contrastTrial_start	5	n/a
175.254	n/a	87627	left_target	8	n/a
177.024	n/a	88512	left_buttonPress	12	smiley_face
177.654	n/a	88827	contrastTrial_start	5	n/a
182.054	n/a	91027	left_target	8	n/a
183.294	n/a	91647	left_buttonPress	12	smiley_face
184.456	n/a	92228	contrastTrial_start	5	n/a
187.256	n/a	93628	left_target	8	n/a
188.786	n/a	94393	left_buttonPress	12	smiley_face
189.656	n/a	94828	contrastTrial_start	5	n/a
194.056	n/a	97028	left_target	8	n/a
195.816	n/a	97908	left_buttonPress	12	smiley_face
196.456	n/a	98228	contrastTrial_start	5	n/a
202.456	n/a	101228	left_target	8	n/a
204.266	n/a	102133	left_buttonPress	12	smiley_face
204.856	n/a	102428	contrastTrial_start	5	n/a
210.856	n/a	105428	left_target	8	n/a
212.586	n/a	106293	left_buttonPress	12	smiley_face
213.256	n/a	106628	contrastTrial_start	5	n/a
219.732	n/a	109866	break cnt	break cnt	n/a
253.738	n/a	126869	9999	9999	n/a
