onset	duration	sample	value	event_code	feedback
0	n/a	0	break cnt	break cnt	n/a
35.136	n/a	17568	contrastChangeB2_start	95	n/a
40.85	n/a	20425	contrastTrial_start	5	n/a
43.654	n/a	21827	right_target	9	n/a
45.304	n/a	22652	right_buttonPress	13	smiley_face
46.054	n/a	23027	contrastTrial_start	5	n/a
48.854	n/a	24427	left_target	8	n/a
50.454	n/a	25227	left_buttonPress	12	smiley_face
51.254	n/a	25627	contrastTrial_start	5	n/a
57.254	n/a	28627	right_target	9	n/a
59.024	n/a	29512	right_buttonPress	13	smiley_face
59.654	n/a	29827	contrastTrial_start	5	n/a
65.654	n/a	32827	left_target	8	n/a
67.294	n/a	33647	left_buttonPress	12	smiley_face
68.054	n/a	34027	contrastTrial_start	5	n/a
74.054	n/a	37027	right_target	9	n/a
75.514	n/a	37757	right_buttonPress	13	smiley_face
76.454	n/a	38227	contrastTrial_start	5	n/a
82.452	n/a	41226	left_target	8	n/a
83.662	n/a	41831	left_buttonPress	12	smiley_face
84.852	n/a	42426	contrastTrial_start	5	n/a
89.252	n/a	44626	left_target	8	n/a
90.772	n/a	45386	left_buttonPress	12	smiley_face
91.652	n/a	45826	contrastTrial_start	5	n/a
94.452	n/a	47226	right_target	9	n/a
96.392	n/a	48196	right_buttonPress	13	smiley_face
96.852	n/a	48426	contrastTrial_start	5	n/a
102.852	n/a	51426	right_target	9	n/a
104.162	n/a	52081	right_buttonPress	13	smiley_face
105.252	n/a	52626	contrastTrial_start	5	n/a
109.652	n/a	54826	right_target	9	n/a
111.252	n/a	55626	right_buttonPress	13	smiley_face
112.052	n/a	56026	contrastTrial_start	5	n/a
116.452	n/a	58226	right_target	9	n/a
118.272	n/a	59136	right_buttonPress	13	smiley_face
118.852	n/a	59426	contrastTrial_start	5	n/a
121.652	n/a	60826	right_target	9	n/a
123.312	n/a	61656	right_buttonPress	13	smiley_face
124.052	n/a	62026	contrastTrial_start	5	n/a
128.452	n/a	64226	left_target	8	n/a
129.932	n/a	64966	left_buttonPress	12	smiley_face
130.852	n/a	65426	contrastTrial_start	5	n/a
135.252	n/a	67626	right_target	9	n/a
136.722	n/a	68361	right_buttonPress	13	smiley_face
137.652	n/a	68826	contrastTrial_start	5	n/a
143.662	n/a	71831	right_target	9	n/a
145.162	n/a	72581	right_buttonPress	13	smiley_face
146.062	n/a	73031	contrastTrial_start	5	n/a
150.462	n/a	75231	right_target	9	n/a
152.002	n/a	76001	right_buttonPress	13	smiley_face
152.862	n/a	76431	contrastTrial_start	5	n/a
155.662	n/a	77831	right_target	9	n/a
157.412	n/a	78706	right_buttonPress	13	smiley_face
158.062	n/a	79031	contrastTrial_start	5	n/a
160.862	n/a	80431	left_target	8	n/a
162.842	n/a	81421	left_buttonPress	12	smiley_face
163.262	n/a	81631	contrastTrial_start	5	n/a
166.062	n/a	83031	left_target	8	n/a
167.812	n/a	83906	left_buttonPress	12	smiley_face
168.462	n/a	84231	contrastTrial_start	5	n/a
172.862	n/a	86431	left_target	8	n/a
174.202	n/a	87101	left_buttonPress	12	smiley_face
175.262	n/a	87631	contrastTrial_start	5	n/a
178.062	n/a	89031	left_target	8	n/a
180.192	n/a	90096	left_buttonPress	12	smiley_face
180.462	n/a	90231	contrastTrial_start	5	n/a
184.86	n/a	92430	left_target	8	n/a
186.552	n/a	93276	left_buttonPress	12	smiley_face
187.262	n/a	93631	contrastTrial_start	5	n/a
193.26	n/a	96630	left_target	8	n/a
194.69	n/a	97345	left_buttonPress	12	smiley_face
195.66	n/a	97830	contrastTrial_start	5	n/a
201.66	n/a	100830	left_target	8	n/a
203.14	n/a	101570	left_buttonPress	12	smiley_face
204.062	n/a	102031	contrastTrial_start	5	n/a
210.432	n/a	105216	break cnt	break cnt	n/a
248.412	n/a	124206	9999	9999	n/a
