onset	duration	sample	value	event_code	background	foreground_contrast	stimulus_cond
0	n/a	0	break cnt	break cnt	n/a	n/a	n/a
40.272	n/a	20136	surroundSuppB1_start	93	n/a	n/a	n/a
41.82	n/a	20910	fixpoint_ON	4	n/a	n/a	n/a
42.338	2.4	21169	stim_ON	8	1	0	2
45.246	n/a	22623	fixpoint_ON	4	n/a	n/a	n/a
45.758	2.4	22879	stim_ON	8	1	0.3	3
48.666	n/a	24333	fixpoint_ON	4	n/a	n/a	n/a
49.178	2.4	24589	stim_ON	8	1	0.6	1
52.086	n/a	26043	fixpoint_ON	4	n/a	n/a	n/a
52.596	2.4	26298	stim_ON	8	1	1	2
55.506	n/a	27753	fixpoint_ON	4	n/a	n/a	n/a
56.018	2.4	28009	stim_ON	8	1	0	3
58.926	n/a	29463	fixpoint_ON	4	n/a	n/a	n/a
59.438	2.4	29719	stim_ON	8	1	0.3	2
62.346	n/a	31173	fixpoint_ON	4	n/a	n/a	n/a
62.856	2.4	31428	stim_ON	8	1	0.6	1
65.766	n/a	32883	fixpoint_ON	4	n/a	n/a	n/a
66.278	2.4	33139	stim_ON	8	1	1	3
69.186	n/a	34593	fixpoint_ON	4	n/a	n/a	n/a
69.698	2.4	34849	stim_ON	8	1	0	2
72.606	n/a	36303	fixpoint_ON	4	n/a	n/a	n/a
73.118	2.4	36559	stim_ON	8	1	0.3	3
76.026	n/a	38013	fixpoint_ON	4	n/a	n/a	n/a
76.538	2.4	38269	stim_ON	8	1	0.6	1
79.448	n/a	39724	fixpoint_ON	4	n/a	n/a	n/a
79.958	2.4	39979	stim_ON	8	1	1	2
82.868	n/a	41434	fixpoint_ON	4	n/a	n/a	n/a
83.378	2.4	41689	stim_ON	8	0	0	3
86.288	n/a	43144	fixpoint_ON	4	n/a	n/a	n/a
86.798	2.4	43399	stim_ON	8	0	0.3	1
89.708	n/a	44854	fixpoint_ON	4	n/a	n/a	n/a
90.218	2.4	45109	stim_ON	8	0	0.6	2
93.128	n/a	46564	fixpoint_ON	4	n/a	n/a	n/a
93.638	2.4	46819	stim_ON	8	0	1	3
96.548	n/a	48274	fixpoint_ON	4	n/a	n/a	n/a
97.058	2.4	48529	stim_ON	8	1	1	1
99.968	n/a	49984	fixpoint_ON	4	n/a	n/a	n/a
100.478	2.4	50239	stim_ON	8	1	0.6	3
103.388	n/a	51694	fixpoint_ON	4	n/a	n/a	n/a
103.898	2.4	51949	stim_ON	8	1	0.3	2
106.808	n/a	53404	fixpoint_ON	4	n/a	n/a	n/a
107.318	2.4	53659	stim_ON	8	1	0	1
110.228	n/a	55114	fixpoint_ON	4	n/a	n/a	n/a
110.738	2.4	55369	stim_ON	8	1	1	1
113.648	n/a	56824	fixpoint_ON	4	n/a	n/a	n/a
114.158	2.4	57079	stim_ON	8	1	0.6	2
117.068	n/a	58534	fixpoint_ON	4	n/a	n/a	n/a
117.578	2.4	58789	stim_ON	8	1	0.3	3
120.488	n/a	60244	fixpoint_ON	4	n/a	n/a	n/a
120.998	2.4	60499	stim_ON	8	1	0	1
123.908	n/a	61954	fixpoint_ON	4	n/a	n/a	n/a
124.418	2.4	62209	stim_ON	8	0	0	2
127.328	n/a	63664	fixpoint_ON	4	n/a	n/a	n/a
127.838	2.4	63919	stim_ON	8	1	0	3
130.748	n/a	65374	fixpoint_ON	4	n/a	n/a	n/a
131.26	2.4	65630	stim_ON	8	0	0.3	1
134.168	n/a	67084	fixpoint_ON	4	n/a	n/a	n/a
134.678	2.4	67339	stim_ON	8	1	0.3	2
137.588	n/a	68794	fixpoint_ON	4	n/a	n/a	n/a
138.1	2.4	69050	stim_ON	8	0	0.6	3
141.008	n/a	70504	fixpoint_ON	4	n/a	n/a	n/a
141.52	2.4	70760	stim_ON	8	1	0.6	1
144.428	n/a	72214	fixpoint_ON	4	n/a	n/a	n/a
144.94	2.4	72470	stim_ON	8	0	1	2
147.848	n/a	73924	fixpoint_ON	4	n/a	n/a	n/a
148.36	2.4	74180	stim_ON	8	1	1	3
151.268	n/a	75634	fixpoint_ON	4	n/a	n/a	n/a
151.778	2.4	75889	stim_ON	8	1	1	1
154.688	n/a	77344	fixpoint_ON	4	n/a	n/a	n/a
155.2	2.4	77600	stim_ON	8	1	0.6	2
158.108	n/a	79054	fixpoint_ON	4	n/a	n/a	n/a
158.62	2.4	79310	stim_ON	8	1	0.3	3
161.528	n/a	80764	fixpoint_ON	4	n/a	n/a	n/a
162.04	2.4	81020	stim_ON	8	1	0	1
164.95	n/a	82475	fixpoint_ON	4	n/a	n/a	n/a
165.46	2.4	82730	stim_ON	8	1	1	1
168.37	n/a	84185	fixpoint_ON	4	n/a	n/a	n/a
168.88	2.4	84440	stim_ON	8	1	0.6	3
171.79	n/a	85895	fixpoint_ON	4	n/a	n/a	n/a
172.3	2.4	86150	stim_ON	8	1	0.3	2
175.21	n/a	87605	fixpoint_ON	4	n/a	n/a	n/a
175.72	2.4	87860	stim_ON	8	1	0	1
178.63	n/a	89315	fixpoint_ON	4	n/a	n/a	n/a
179.14	2.4	89570	stim_ON	8	0	0	3
182.05	n/a	91025	fixpoint_ON	4	n/a	n/a	n/a
182.56	2.4	91280	stim_ON	8	0	0.3	1
185.47	n/a	92735	fixpoint_ON	4	n/a	n/a	n/a
185.98	2.4	92990	stim_ON	8	0	0.6	2
188.89	n/a	94445	fixpoint_ON	4	n/a	n/a	n/a
189.4	2.4	94700	stim_ON	8	0	1	3
192.31	n/a	96155	fixpoint_ON	4	n/a	n/a	n/a
192.82	2.4	96410	stim_ON	8	1	0	1
195.73	n/a	97865	fixpoint_ON	4	n/a	n/a	n/a
196.24	2.4	98120	stim_ON	8	1	0.3	2
199.15	n/a	99575	fixpoint_ON	4	n/a	n/a	n/a
199.66	2.4	99830	stim_ON	8	1	0.6	3
202.57	n/a	101285	fixpoint_ON	4	n/a	n/a	n/a
203.08	2.4	101540	stim_ON	8	1	1	1
205.99	n/a	102995	fixpoint_ON	4	n/a	n/a	n/a
206.5	2.4	103250	stim_ON	8	1	0	2
209.41	n/a	104705	fixpoint_ON	4	n/a	n/a	n/a
209.92	2.4	104960	stim_ON	8	1	0.3	1
212.83	n/a	106415	fixpoint_ON	4	n/a	n/a	n/a
213.34	2.4	106670	stim_ON	8	1	0.6	3
216.25	n/a	108125	fixpoint_ON	4	n/a	n/a	n/a
216.762	2.4	108381	stim_ON	8	1	1	2
219.67	n/a	109835	fixpoint_ON	4	n/a	n/a	n/a
220.182	2.4	110091	stim_ON	8	1	0	1
223.09	n/a	111545	fixpoint_ON	4	n/a	n/a	n/a
223.602	2.4	111801	stim_ON	8	1	0.3	2
226.51	n/a	113255	fixpoint_ON	4	n/a	n/a	n/a
227.022	2.4	113511	stim_ON	8	1	0.6	3
229.93	n/a	114965	fixpoint_ON	4	n/a	n/a	n/a
230.442	2.4	115221	stim_ON	8	1	1	1
233.35	n/a	116675	fixpoint_ON	4	n/a	n/a	n/a
233.862	2.4	116931	stim_ON	8	1	1	3
236.77	n/a	118385	fixpoint_ON	4	n/a	n/a	n/a
237.282	2.4	118641	stim_ON	8	0	1	1
240.19	n/a	120095	fixpoint_ON	4	n/a	n/a	n/a
240.702	2.4	120351	stim_ON	8	1	0.6	2
243.61	n/a	121805	fixpoint_ON	4	n/a	n/a	n/a
244.122	2.4	122061	stim_ON	8	0	0.6	3
247.03	n/a	123515	fixpoint_ON	4	n/a	n/a	n/a
247.542	2.4	123771	stim_ON	8	1	0.3	1
250.45	n/a	125225	fixpoint_ON	4	n/a	n/a	n/a
250.962	2.4	125481	stim_ON	8	0	0.3	2
253.872	n/a	126936	fixpoint_ON	4	n/a	n/a	n/a
254.382	2.4	127191	stim_ON	8	1	0	3
257.292	n/a	128646	fixpoint_ON	4	n/a	n/a	n/a
257.802	2.4	128901	stim_ON	8	0	0	1
263.877	n/a	131938.5	boundary	boundary	n/a	n/a	n/a
