onset	duration	sample	value	event_code	background	foreground_contrast	stimulus_cond
0	n/a	0	break cnt	break cnt	n/a	n/a	n/a
72.376	n/a	36188	surroundSuppB2_start	97	n/a	n/a	n/a
73.91	n/a	36955	fixpoint_ON	4	n/a	n/a	n/a
74.428	2.4	37214	stim_ON	8	1	1	3
77.344	n/a	38672	fixpoint_ON	4	n/a	n/a	n/a
77.856	2.4	38928	stim_ON	8	1	0.6	1
80.764	n/a	40382	fixpoint_ON	4	n/a	n/a	n/a
81.276	2.4	40638	stim_ON	8	1	0.3	2
84.184	n/a	42092	fixpoint_ON	4	n/a	n/a	n/a
84.696	2.4	42348	stim_ON	8	1	0	3
87.604	n/a	43802	fixpoint_ON	4	n/a	n/a	n/a
88.114	2.4	44057	stim_ON	8	1	0	2
91.024	n/a	45512	fixpoint_ON	4	n/a	n/a	n/a
91.534	2.4	45767	stim_ON	8	1	0.3	1
94.444	n/a	47222	fixpoint_ON	4	n/a	n/a	n/a
94.954	2.4	47477	stim_ON	8	1	0.6	3
97.864	n/a	48932	fixpoint_ON	4	n/a	n/a	n/a
98.374	2.4	49187	stim_ON	8	1	1	2
101.284	n/a	50642	fixpoint_ON	4	n/a	n/a	n/a
101.794	2.4	50897	stim_ON	8	1	1	3
104.704	n/a	52352	fixpoint_ON	4	n/a	n/a	n/a
105.214	2.4	52607	stim_ON	8	1	0.6	1
108.124	n/a	54062	fixpoint_ON	4	n/a	n/a	n/a
108.634	2.4	54317	stim_ON	8	1	0.3	2
111.544	n/a	55772	fixpoint_ON	4	n/a	n/a	n/a
112.054	2.4	56027	stim_ON	8	1	0	3
114.964	n/a	57482	fixpoint_ON	4	n/a	n/a	n/a
115.474	2.4	57737	stim_ON	8	0	1	1
118.384	n/a	59192	fixpoint_ON	4	n/a	n/a	n/a
118.894	2.4	59447	stim_ON	8	0	0.6	2
121.804	n/a	60902	fixpoint_ON	4	n/a	n/a	n/a
122.314	2.4	61157	stim_ON	8	0	0.3	3
125.224	n/a	62612	fixpoint_ON	4	n/a	n/a	n/a
125.734	2.4	62867	stim_ON	8	0	0	1
128.644	n/a	64322	fixpoint_ON	4	n/a	n/a	n/a
129.154	2.4	64577	stim_ON	8	1	1	3
132.064	n/a	66032	fixpoint_ON	4	n/a	n/a	n/a
132.574	2.4	66287	stim_ON	8	1	0.6	2
135.484	n/a	67742	fixpoint_ON	4	n/a	n/a	n/a
135.994	2.4	67997	stim_ON	8	1	0.3	1
138.904	n/a	69452	fixpoint_ON	4	n/a	n/a	n/a
139.414	2.4	69707	stim_ON	8	1	0	3
142.324	n/a	71162	fixpoint_ON	4	n/a	n/a	n/a
142.834	2.4	71417	stim_ON	8	1	0	3
145.744	n/a	72872	fixpoint_ON	4	n/a	n/a	n/a
146.254	2.4	73127	stim_ON	8	1	0.3	1
149.164	n/a	74582	fixpoint_ON	4	n/a	n/a	n/a
149.674	2.4	74837	stim_ON	8	1	0.6	2
152.584	n/a	76292	fixpoint_ON	4	n/a	n/a	n/a
153.094	2.4	76547	stim_ON	8	1	1	3
156.002	n/a	78001	fixpoint_ON	4	n/a	n/a	n/a
156.514	2.4	78257	stim_ON	8	1	0	1
159.422	n/a	79711	fixpoint_ON	4	n/a	n/a	n/a
159.934	2.4	79967	stim_ON	8	0	0	2
162.842	n/a	81421	fixpoint_ON	4	n/a	n/a	n/a
163.354	2.4	81677	stim_ON	8	1	0.3	3
166.262	n/a	83131	fixpoint_ON	4	n/a	n/a	n/a
166.774	2.4	83387	stim_ON	8	0	0.3	1
169.682	n/a	84841	fixpoint_ON	4	n/a	n/a	n/a
170.194	2.4	85097	stim_ON	8	1	0.6	2
173.102	n/a	86551	fixpoint_ON	4	n/a	n/a	n/a
173.614	2.4	86807	stim_ON	8	0	0.6	3
176.522	n/a	88261	fixpoint_ON	4	n/a	n/a	n/a
177.034	2.4	88517	stim_ON	8	1	1	1
179.942	n/a	89971	fixpoint_ON	4	n/a	n/a	n/a
180.454	2.4	90227	stim_ON	8	0	1	2
183.362	n/a	91681	fixpoint_ON	4	n/a	n/a	n/a
183.872	2.4	91936	stim_ON	8	1	0	3
186.782	n/a	93391	fixpoint_ON	4	n/a	n/a	n/a
187.294	2.4	93647	stim_ON	8	1	0.3	1
190.202	n/a	95101	fixpoint_ON	4	n/a	n/a	n/a
190.712	2.4	95356	stim_ON	8	1	0.6	2
193.622	n/a	96811	fixpoint_ON	4	n/a	n/a	n/a
194.132	2.4	97066	stim_ON	8	1	1	3
197.042	n/a	98521	fixpoint_ON	4	n/a	n/a	n/a
197.552	2.4	98776	stim_ON	8	1	1	2
200.462	n/a	100231	fixpoint_ON	4	n/a	n/a	n/a
200.972	2.4	100486	stim_ON	8	1	0.6	1
203.882	n/a	101941	fixpoint_ON	4	n/a	n/a	n/a
204.392	2.4	102196	stim_ON	8	1	0.3	3
207.302	n/a	103651	fixpoint_ON	4	n/a	n/a	n/a
207.812	2.4	103906	stim_ON	8	1	0	2
210.722	n/a	105361	fixpoint_ON	4	n/a	n/a	n/a
211.232	2.4	105616	stim_ON	8	0	1	1
214.142	n/a	107071	fixpoint_ON	4	n/a	n/a	n/a
214.652	2.4	107326	stim_ON	8	0	0.6	2
217.562	n/a	108781	fixpoint_ON	4	n/a	n/a	n/a
218.072	2.4	109036	stim_ON	8	0	0.3	3
220.982	n/a	110491	fixpoint_ON	4	n/a	n/a	n/a
221.492	2.4	110746	stim_ON	8	0	0	1
224.402	n/a	112201	fixpoint_ON	4	n/a	n/a	n/a
224.912	2.4	112456	stim_ON	8	1	1	2
227.822	n/a	113911	fixpoint_ON	4	n/a	n/a	n/a
228.332	2.4	114166	stim_ON	8	1	0.6	3
